dht11_temp_c,status
27.995670107990758,healthy
27.896115246665996,healthy
27.970070588533034,healthy
27.957054673558023,healthy
27.882741163752666,healthy
27.606837644550925,healthy
27.912931200971318,healthy
28.00251898185749,healthy
27.934267303991543,healthy
28.009058093715304,healthy
27.89435574511516,healthy
27.91178940508499,healthy
27.79376444627433,healthy
27.553983743734126,healthy
27.75034705534137,healthy
27.726265659663547,healthy
27.694559902441622,healthy
27.643017319470214,healthy
27.758064763957194,healthy
27.927026311029547,healthy
28.16242686882117,healthy
28.048858638554705,healthy
28.071989248570127,healthy
28.26768000022396,healthy
27.8793106741587,healthy
28.12252542071848,healthy
28.092122492765146,healthy
28.07936757296779,healthy
27.900058978980653,healthy
28.023648259553156,healthy
27.94756809938473,healthy
28.009724389383937,healthy
27.914131253947446,healthy
27.80326360754905,healthy
28.149899541749548,healthy
27.974430019552816,healthy
28.034843282914462,healthy
27.86808392138654,healthy
27.87895378585289,healthy
28.145127745667473,healthy
27.921584247506743,healthy
28.05895370817901,healthy
27.750873208563238,healthy
27.823757035717566,healthy
27.813781386878848,healthy
27.95568342494882,healthy
27.977251697240778,healthy
27.697981910769553,healthy
28.025618816477472,healthy
27.952005288071756,healthy
27.930350744604638,healthy
27.937966538926503,healthy
28.044848655304655,healthy
27.905546152009475,healthy
27.854921618749117,healthy
27.95255436662022,healthy
27.894457102203226,healthy
27.65070565115861,healthy
27.791295527640333,healthy
27.692470087572243,healthy
27.79435451986805,healthy
27.791987910488057,healthy
27.86236944823243,healthy
27.67801473784204,healthy
27.56980355942553,healthy
27.943467336358115,healthy
27.8887027392506,healthy
27.82129830718903,healthy
27.59429246891956,healthy
27.398998849009583,healthy
27.806176928607435,healthy
27.80962974306048,healthy
27.887007805595676,healthy
27.58180198279558,healthy
27.652726392609274,healthy
27.84111009599513,healthy
27.759389512239448,healthy
27.873388568441857,healthy
27.660757348968797,healthy
27.80961448925953,healthy
27.77863223620599,healthy
27.61113021939462,healthy
27.66522091469706,healthy
27.58407790031967,healthy
27.474585805373984,healthy
27.653513341396533,healthy
27.580023728924996,healthy
27.227954980893273,healthy
27.625543813266436,healthy
27.0855626880556,healthy
27.745625465525023,healthy
28.1351043838867,healthy
27.756750270696045,healthy
27.763503401393976,healthy
27.99847577507394,healthy
27.941221764779623,healthy
27.929504006545073,healthy
27.752028743047322,healthy
27.780577956879632,healthy
27.679398809177474,healthy
27.929838603657483,healthy
27.90172034936448,healthy
27.753222420753414,healthy
27.98662565066942,healthy
27.839327565905734,healthy
27.821002134850037,healthy
27.90356853634213,healthy
27.677609154257667,healthy
27.870328466810196,healthy
27.663025324356035,healthy
27.7248755607505,healthy
27.627100797205177,healthy
27.624580048832065,healthy
27.64051770868232,healthy
27.798825814547797,healthy
27.669634930030018,healthy
27.61009604353667,healthy
27.830551268014496,healthy
27.757713075160332,healthy
27.85794666192166,healthy
27.88155945650546,healthy
27.712699562189147,healthy
27.64550643892627,healthy
27.857486031073545,healthy
27.55567436638557,healthy
27.819211923532784,healthy
27.478843061462353,healthy
27.661384565996112,healthy
27.627894665523897,healthy
27.360829673308366,healthy
27.761373732070325,healthy
27.824598084577467,healthy
27.462251088773026,healthy
27.593887825731315,healthy
27.600929217564982,healthy
27.54323455348158,healthy
27.767669693744256,healthy
27.630200253330713,healthy
27.695257764960242,healthy
27.81606172076585,healthy
27.70958453658085,healthy
27.718489456189275,healthy
27.31016732933127,healthy
27.646896929211238,healthy
27.255370277202868,healthy
27.429150909936357,healthy
27.735155231004843,healthy
27.338863846533222,healthy
27.291401483616454,healthy
27.558008332963926,healthy
27.415294082974555,healthy
27.400307269005594,healthy
27.286418723109495,healthy
27.539129843976788,healthy
27.533190326483837,healthy
27.360760122968273,healthy
27.22317290905424,healthy
27.301161434316494,healthy
27.448999200107778,healthy
27.589520896313818,healthy
27.464507573002276,healthy
27.457772819508374,healthy
27.20197324056263,healthy
27.199591971243215,healthy
27.207583070013463,healthy
27.312268828760224,healthy
27.191025281028327,healthy
27.23006383066806,healthy
27.47374218448992,healthy
27.50117306235076,healthy
27.275068874902114,healthy
27.310990912903723,healthy
27.282276455905752,healthy
27.07479774182767,healthy
27.134227707581566,healthy
27.38535266355604,healthy
27.407549926176017,healthy
26.937954119432444,healthy
27.25813798271179,healthy
27.185772249686913,healthy
27.069266009080522,healthy
27.327249790421174,healthy
27.102401212332865,healthy
27.466736195265653,healthy
27.273106998896864,healthy
27.305351836380368,healthy
27.42100020522704,healthy
27.25155003666898,healthy
27.102664512327724,healthy
27.182042454455427,healthy
27.32103490468025,healthy
27.12161723543934,healthy
27.148809241455407,healthy
27.08582618780649,healthy
27.06281538747243,healthy
27.227835059720157,healthy
27.246581089328917,healthy
27.393777268076995,healthy
27.142311398112344,healthy
27.20679879494041,healthy
27.199732667116095,healthy
27.302542298487538,healthy
27.20885283261914,healthy
27.185468853371923,healthy
26.87056863935207,healthy
27.04016507928995,healthy
27.47598492910294,healthy
27.26795025291411,healthy
27.282603547848133,healthy
27.282426388096617,healthy
27.14207949153358,healthy
27.20660359938306,healthy
27.189221735070475,healthy
27.202169398522166,healthy
27.490042086987632,healthy
27.284739164311578,healthy
27.267228080710225,healthy
27.370638834874676,healthy
27.16179004142746,healthy
27.044095187954895,healthy
27.240946893238927,healthy
27.384387745360552,healthy
27.251244607192795,healthy
27.346101482002386,healthy
27.241779877866005,healthy
27.17497131768651,healthy
27.0004224464863,healthy
27.095566499381107,healthy
26.994705281278314,healthy
27.320178109135444,healthy
27.348885437937437,healthy
27.284270014957418,healthy
27.032617218805424,healthy
27.127977740773485,healthy
27.263460223279413,healthy
27.067895475792206,healthy
26.821298097842092,healthy
27.177847516350482,healthy
27.02819309219942,healthy
27.166817645432275,healthy
27.179705454728644,healthy
27.167845646333017,healthy
27.105615975511572,healthy
27.31464302866864,healthy
27.148246810868965,healthy
27.034477271349516,healthy
27.197595907000142,healthy
27.107476230172562,healthy
26.74797713824256,healthy
26.960116685946645,healthy
27.039660167438974,healthy
26.90264903066259,healthy
27.106579733895174,healthy
27.012631507334877,healthy
26.99801444201974,healthy
27.204636866487885,healthy
26.94493039774331,healthy
27.016200729269897,healthy
27.23811225880992,healthy
27.40947927274719,healthy
27.086538614243555,healthy
27.128347122124566,healthy
27.195783275654733,healthy
27.348713380426968,healthy
27.259244399197428,healthy
26.957380840982346,healthy
27.16485776594667,healthy
26.97336413835386,healthy
27.084645114126012,healthy
26.983944796091567,healthy
26.95334245630823,healthy
26.99497948985848,healthy
27.167419307647393,healthy
27.058075891180728,healthy
26.96485247019849,healthy
26.981031868636965,healthy
27.101371598492985,healthy
26.928714542894923,healthy
27.23255824274329,healthy
27.210307805301365,healthy
27.22357922089842,healthy
27.154628325300273,healthy
27.24133652020732,healthy
26.93280106442842,healthy
27.239435384643993,healthy
27.21284714055663,healthy
26.96144551111154,healthy
26.84302025914862,healthy
26.847251033028385,healthy
26.89947522740781,healthy
27.099840043241386,healthy
27.25404761328171,healthy
26.8942935878683,healthy
27.1093841312269,healthy
26.985385801624115,healthy
26.990378834496564,healthy
27.130648327881044,healthy
26.92260272528141,healthy
26.936544003791283,healthy
27.03223905600993,healthy
26.725376850603784,healthy
26.866720905333352,healthy
26.972241435164708,healthy
26.915606102008756,healthy
27.138138212780163,healthy
27.046742180952872,healthy
26.966165708628232,healthy
27.14450980810361,healthy
27.119756189891298,healthy
27.00030917174733,healthy
