heart_rate,spo2,status
121.70401037126744,97.29193584788047,healthy
122.21160416432748,97.0461901194173,healthy
122.60527150927891,96.65171886851424,healthy
122.69264439801005,97.68177070434818,healthy
116.27302417323136,96.56709361665142,healthy
115.29583037366534,97.36526544589202,healthy
116.6116389492102,96.6458726686801,healthy
117.20765616746829,96.69770645393557,healthy
125.79942387200244,98.23621137800863,healthy
126.33443627908647,98.00528692250215,healthy
126.92126444657764,97.78400056339179,healthy
128.06746404029047,98.4002477647705,healthy
129.51919631910405,97.60539613253013,healthy
128.87535301757515,97.99340563332235,healthy
122.97511212049422,98.08855304054644,healthy
116.14867162880694,97.86580896321406,healthy
124.00257469122734,97.72890239790213,healthy
124.81375746851396,98.46970375971019,healthy
124.73847117026321,97.2175243591024,healthy
123.69313148588765,97.93108580517563,healthy
125.2932926406639,97.86221764536587,healthy
98.67192614322649,98.8734659045732,healthy
124.00004082306637,97.17919051108703,healthy
97.88443178447956,96.62574641622335,healthy
97.55665621601284,97.83532828210811,healthy
98.50650695064907,97.42983610154685,healthy
97.52824761021495,97.19976795486824,healthy
98.4106879627138,96.46968428359794,healthy
97.91143459205162,96.57090707518172,healthy
115.05180062020446,97.68246632217843,healthy
115.13708576445491,97.26861346300959,healthy
137.97740981216322,97.36374268502564,healthy
107.14961184781045,96.21051809201734,healthy
107.88675008712192,96.74609083526381,healthy
137.84705043919567,96.24216685057768,healthy
107.55316345145339,97.41508480103685,healthy
136.5438647911234,96.68757865103812,healthy
101.71023440749437,97.39944106141368,healthy
102.35451229540996,96.00583054692856,healthy
81.17196903165755,96.95648988601322,healthy
102.62450097922333,97.25491326383509,healthy
81.18655346799301,97.65511679638458,healthy
81.20736045330528,96.90186477164295,healthy
80.78966877389216,97.24569432892038,healthy
130.24345688489439,95.1196850254214,healthy
131.09293669605134,95.34162492033799,healthy
131.94249269546833,96.28755961777858,healthy
90.8285254959086,96.06783371716409,healthy
98.11990290258275,95.37525737213528,healthy
89.52824967970258,95.20601530113505,healthy
91.95805443398544,95.76063071622593,healthy
90.51358987513188,95.89636489639778,healthy
96.93993860295413,95.37117203546077,healthy
98.62493164384472,95.33127170459788,healthy
117.38765531861954,95.25563191161395,healthy
116.79743899383848,94.62077255160067,healthy
107.68279017702964,94.76673611539768,healthy
108.0499642734624,94.50872956052291,healthy
116.87305204711456,95.20246960219283,healthy
108.0506729285541,94.57174510886617,healthy
113.7044893290342,95.57933763670206,healthy
113.68082543741332,96.54120138063915,healthy
112.86289985935113,95.89930482561823,healthy
69.23770905825126,96.47221378247816,healthy
70.96012345918832,95.78481120243283,healthy
70.96142108848177,95.74203396394913,healthy
90.28615018926394,95.1383887973154,healthy
90.57500425477268,94.42383757976714,healthy
